	X107.0_1	X107.0_2	X107.0_3	X107.15_1	X107.15_2	X107.15_3	X90.0_1	X90.0_2	X90.0_3	X90.15_1	X90.15_2	X90.15_3
Ciclev10026947m	5.66675853684295	6.47509657975743	5.23572679279498	5.78051490024058	4.9634680657748	5.16729946426899	5.74826843211667	4.13656929488959	5.38169134611654	3.41055686719888	5.59472296778122	4.94902784854057
Ciclev10026949m	4.89401873636436	4.54392742439118	3.64447649302396	3.03623004861121	2.85938921180505	4.99880056869501	1.43706710802917	5.45797337520154	4.09008542304857	3.6770066224488	5.25903958971435	1.85588544320271
Ciclev10026950m	75.0587926198198	59.3550519811098	36.4447649302396	42.9743329957279	67.8160799856405	70.2640394543534	67.4768328451878	47.9727133504557	67.1635079995344	41.9391914763363	33.2886016582983	50.2635640867402
Ciclev10026951m	23.0791620409604	26.4683772470786	23.0987946740955	20.7864980251075	22.8751136944404	24.6008387538024	13.7174587584602	26.2557245522853	21.2038639036992	23.3409985598924	21.5396834259577	20.620949368919
Ciclev10026953m	3.40005512210577	3.80553921792761	6.46766250874674	5.43018066386236	4.42396066732102	4.71796907607169	5.02973487810209	5.91759218574483	5.65077591342236	8.47310221694723	8.16829553296058	8.24837974756762
Ciclev10026954m	0.566675853684295	0.965584577683125	0.564637203144557	0.408723275774586	0.647408878144539	1.17949226901792	0.32660616091572	0.402166459225377	0.861070615378646	0.532899510499826	0.335683378066873	0.154657120266893
Ciclev10026955m	0.772739800478583	0.738388206463566	0.30798392898794	0.467112315170956	0.593458138299161	0.617829283771293	0.32660616091572	0.517071161861199	0.430535307689323	0.21315980419993	0.167841689033437	0.412418987378381
Ciclev10026956m	0.618191840382867	0.681589113658677	0.102661309662647	0.175167118189108	0.593458138299161	0.505496686721967	0	0	0.215267653844661	0	0.167841689033437	0
Ciclev10026958m	0.515159866985722	0.681589113658677	0.564637203144557	0.525501354567325	0.539507398453783	0.224665194098652	0.32660616091572	0.287261756589555	0.484352221150488	0.373029657349878	0.50352506710031	0.824837974756762
Ciclev10026963m	7.0576901777044	8.97425666317258	7.6995982246985	7.82413127911351	9.71113317216809	7.35778510673085	5.74826843211667	8.388043292415	7.05001566341266	7.99349265749738	8.39208445167183	10.1042651907703
Ciclev10026964m	13.3941565416288	14.4837686652469	14.6805672817585	11.7361969186703	14.2969460590252	12.7497497650985	7.70790539761099	12.4671602359867	12.054988615301	11.8303691330961	12.7559683665412	11.8054935137062
Ciclev10026966m	32.6096195801962	43.0537123461064	52.5625905472751	81.6862661155209	52.0085132109446	55.0429725541697	42.9813707765088	49.5813791873572	49.6191942111945	59.3650054696806	54.6604433952225	46.7064503206016
